,t_SNE1,t_SNE2,label,id
0,0.6787032,0.045369048,CHI,FJ882931.1
1,0.56902874,0.99926704,CHI,MF094685.1
2,0.54321045,0.11191888,CHI,KY417148.1
3,0.6894847,0.035196222,CHI,FJ882956.1
4,0.44398528,0.95814306,CHI,MH938448.1
5,0.49584734,0.7043792,CHI,NC_034440.1
6,0.94029593,0.053358834,CHI,KF514423.1
7,0.5665307,0.9921613,CHI,EF203066.1
8,0.07526221,0.25599092,CHI,AY502932.1
9,0.505593,0.8073849,CHI,MH687938.1
10,0.061357576,0.27115616,CHI,AY345988.1
11,0.43243495,0.08579295,CHI,MK211375.1
12,0.6827978,0.048435204,CHI,FJ882954.1
13,0.18487735,0.19558023,CHI,AY864805.1
14,0.02686177,0.25596133,CHI,AY348314.1
15,0.11681345,0.23075764,CHI,JX163924.1
16,0.9649663,0.06873343,CHI,KF514394.1
17,0.73531055,0.13500221,CHI,FJ882951.1
18,0.52837485,0.015259618,CHI,KJ473812.1
19,0.5131675,0.79763025,CHI,MH687944.1
20,0.1387834,0.22026479,CHI,AY502926.1
21,0.74686223,0.12541765,CHI,FJ882943.1
22,0.56566,0.09214623,CHI,KJ473815.1
23,0.13803008,0.21094732,CHI,AY502925.1
24,0.6968209,0.84703565,CHI,JQ989270.1
25,0.48991597,0.82497495,CHI,MH687957.1
26,0.50145787,0.084743276,CHI,KJ473816.1
27,0.48758057,0.09338216,CHI,KY417152.1
28,0.5968015,0.99807936,CHI,NC_028824.1
29,0.5240171,0.1462617,CHI,KY417150.1
30,0.9504757,0.064946264,CHI,KF514419.1
31,0.4019359,0.2261212,CHI,KP886809.1
32,0.5067047,0.81291723,CHI,MH687956.1
33,0.17992185,0.16907671,CHI,AY508724.1
34,0.683537,0.04735077,CHI,FJ882950.1
35,0.12811701,0.19601531,CHI,FJ882963.1
36,0.9778391,0.06604905,CHI,KF514421.1
37,0.84009194,0.23691197,CHI,DQ022305.2
38,0.96609783,0.0686046,CHI,KF514397.1
39,0.15368588,0.21142487,CHI,GU553365.1
40,0.5644856,0.992154,CHI,EF203065.1
41,0.38358516,0.92202216,CHI,KY073745.1
42,0.04668439,0.239847,CHI,AP006557.1
43,0.6835131,0.8111019,CHI,KJ473807.1
44,0.8375807,0.24697578,CHI,GQ153541.1
45,0.53927654,0.011105089,CHI,KU182964.1
46,0.48963645,0.80666506,CHI,MH687961.1
47,0.6839406,0.2356718,CHI,EF065510.1
48,0.7069362,0.07539496,CHI,FJ882960.1
49,0.68168664,0.7168369,CHI,DQ648794.1
50,0.98540056,0.05363088,CHI,KF514413.1
51,0.5970716,0.2167537,CHI,NC_030886.1
52,0.11249571,0.13036227,CHI,EU371564.1
53,0.046414413,0.21306695,CHI,AY274119.3
54,0.71663004,0.048961468,CHI,FJ882929.1
55,0.38398823,0.92182046,CHI,KY073746.1
56,0.50929934,0.83410114,CHI,MH687954.1
57,0.19492406,0.221154,CHI,JN854286.1
58,0.11209637,0.124481216,CHI,EU371562.1
59,0.4022937,0.79471457,CHI,MH687949.1
60,0.40435508,0.8000593,CHI,MH687940.1
61,0.71511376,0.12822185,CHI,FJ882953.1
62,0.9631521,0.05210654,CHI,KF514422.1
63,0.5198062,0.8292463,CHI,MH687967.1
64,0.09639795,0.20710047,CHI,JX163923.1
65,1.0,0.024788752,CHI,FJ882939.1
66,0.80491906,0.022498323,CHI,JX162087.1
67,0.5829722,0.6515416,CHI,HM211098.1
68,0.7058011,0.8558999,CHI,JQ989268.1
69,0.97869176,0.06566433,CHI,KF514398.1
70,0.4882589,0.910632,CHI,KF430219.1
71,0.68837374,0.048764516,CHI,FJ882940.1
72,0.6841239,0.06926368,CHI,FJ882941.1
73,0.8909502,0.11545382,CHI,FJ882958.1
74,0.50837725,0.82908094,CHI,MH687964.1
75,0.037120957,0.27335045,CHI,AY502923.1
76,0.037120774,0.27335045,CHI,AP006561.1
77,0.65759873,0.8618911,CHI,KT253269.1
78,0.9856896,0.054379474,CHI,KF514399.1
79,0.46644372,0.8094585,CHI,NC_009657.1
80,0.78523403,0.093222275,CHI,KF514395.1
81,0.7864855,0.091171496,CHI,KF514391.1
82,0.7065626,0.85624355,CHI,JQ989266.1
83,0.78372544,0.08170113,CHI,KF514389.1
84,0.60130286,0.66207117,CHI,EF065514.1
85,0.4617668,0.11615244,CHI,FJ588686.1
86,0.5296083,0.014755998,CHI,KJ473813.1
87,0.56581426,0.9923721,CHI,EF203067.1
88,0.112609036,0.12777366,CHI,EU371561.1
89,0.52383035,0.017745951,CHI,DQ648856.1
90,0.68275476,0.23440692,CHI,NC_009020.1
91,0.42049152,0.90772814,CHI,KY770850.1
92,0.60003334,0.661588,CHI,HM211099.1
93,0.6818895,0.7170722,CHI,NC_009019.1
94,0.6803235,0.8664358,CHI,KY073747.1
95,0.49878883,0.055223476,CHI,KJ473814.1
96,0.4640766,0.8306084,CHI,MK211370.1
97,0.5831525,0.6600165,CHI,EF065516.1
98,0.6819126,0.7170971,CHI,EF065507.1
