,t_SNE1,t_SNE2,label,id
0,0.81359214,0.011637843,CHI,FJ882931.1
1,0.011192237,0.4359558,CHI,MF094685.1
2,0.95293,0.6616071,CHI,KY417148.1
3,0.8120948,0.043401055,CHI,FJ882956.1
4,0.11417774,0.37726,CHI,MH938448.1
5,0.56630355,0.4047821,CHI,NC_034440.1
6,0.8192056,0.16098116,CHI,KF514423.1
7,0.019383049,0.4461365,CHI,EF203066.1
8,0.76563466,0.88241154,CHI,AY502932.1
9,0.16982457,0.52380806,CHI,MH687938.1
10,0.76408446,0.8967143,CHI,AY345988.1
11,0.99801505,0.7229507,CHI,MK211375.1
12,0.8148322,0.008377772,CHI,FJ882954.1
13,0.86981034,0.9135148,CHI,AY864805.1
14,0.73510206,0.87987614,CHI,AY348314.1
15,0.85171705,0.8520159,CHI,JX163924.1
16,0.84189695,0.17341806,CHI,KF514394.1
17,0.7088957,0.1637336,CHI,FJ882951.1
18,0.84261876,0.5495405,CHI,KJ473812.1
19,0.15906224,0.5414353,CHI,MH687944.1
20,0.8026151,0.8338395,CHI,AY502926.1
21,0.74671257,0.1720509,CHI,FJ882943.1
22,0.9818156,0.7475894,CHI,KJ473815.1
23,0.80803,0.8362382,CHI,AY502925.1
24,0.2701419,0.5756355,CHI,JQ989270.1
25,0.14359945,0.5403961,CHI,MH687957.1
26,1.0,0.7016778,CHI,KJ473816.1
27,0.9955268,0.68083155,CHI,KY417152.1
28,2.3301085e-05,0.47836635,CHI,NC_028824.1
29,0.95205843,0.64249325,CHI,KY417150.1
30,0.8286538,0.17582035,CHI,KF514419.1
31,0.73300296,0.74639106,CHI,KP886809.1
32,0.17575575,0.53203714,CHI,MH687956.1
33,0.8753367,0.829835,CHI,AY508724.1
34,0.8119974,0.0123978155,CHI,FJ882950.1
35,0.80736023,0.8866694,CHI,FJ882963.1
36,0.81565315,0.17018726,CHI,KF514421.1
37,0.7216973,0.5942956,CHI,DQ022305.2
38,0.82097524,0.19496638,CHI,KF514397.1
39,0.83300936,0.82164204,CHI,GU553365.1
40,0.019475983,0.44634527,CHI,EF203065.1
41,0.18081382,0.34190348,CHI,KY073745.1
42,0.7491428,0.9023775,CHI,AP006557.1
43,0.26420605,0.6759005,CHI,KJ473807.1
44,0.7231631,0.58390015,CHI,GQ153541.1
45,0.82947266,0.55407155,CHI,KU182964.1
46,0.16212542,0.53322154,CHI,MH687961.1
47,0.6595516,0.32323715,CHI,EF065510.1
48,0.77748394,0.027462196,CHI,FJ882960.1
49,0.48934376,0.43426332,CHI,DQ648794.1
50,0.8426747,0.16694112,CHI,KF514413.1
51,0.73651356,0.44790548,CHI,NC_030886.1
52,0.7738198,0.9923952,CHI,EU371564.1
53,0.8256191,0.9116319,CHI,AY274119.3
54,0.7914179,0.0,CHI,FJ882929.1
55,0.18082741,0.3419168,CHI,KY073746.1
56,0.15658246,0.49877352,CHI,MH687954.1
57,0.83407354,0.7902526,CHI,JN854286.1
58,0.7694146,1.0,CHI,EU371562.1
59,0.22085729,0.42130682,CHI,MH687949.1
60,0.22016075,0.41827095,CHI,MH687940.1
61,0.75176835,0.17068811,CHI,FJ882953.1
62,0.8238093,0.1546826,CHI,KF514422.1
63,0.14021453,0.5050691,CHI,MH687967.1
