,t_SNE1,t_SNE2,label,id
0,0.83833325,0.15186678,CHI,FJ882931.1
1,0.0022199473,0.1377402,CHI,MF094685.1
2,0.7335174,0.74347013,CHI,KY417148.1
3,0.8567614,0.14620265,CHI,FJ882956.1
4,0.06494441,0.27717367,CHI,MH938448.1
5,0.41304663,0.32429862,CHI,NC_034440.1
6,0.94036686,0.32816064,CHI,KF514423.1
7,0.0115087945,0.13850859,CHI,EF203066.1
8,0.6045368,0.89247143,CHI,AY502932.1
9,0.19423068,0.19842409,CHI,MH687938.1
10,0.6297146,0.8881893,CHI,AY345988.1
11,0.7799183,0.8041044,CHI,MK211375.1
12,0.8378608,0.14572035,CHI,FJ882954.1
13,0.5202068,0.89421576,CHI,AY864805.1
14,0.6052998,0.9148805,CHI,AY348314.1
15,0.54934293,0.80956453,CHI,JX163924.1
16,0.9261738,0.29213002,CHI,KF514394.1
17,0.8214583,0.3271221,CHI,FJ882951.1
18,0.7073167,0.5834406,CHI,KJ473812.1
19,0.1903279,0.21183227,CHI,MH687944.1
20,0.57071537,0.81249297,CHI,AY502926.1
21,0.8513193,0.3062019,CHI,FJ882943.1
22,0.75520545,0.8431094,CHI,KJ473815.1
23,0.5692256,0.81847197,CHI,AY502925.1
24,0.16335224,0.04095031,CHI,JQ989270.1
25,0.21212764,0.22374022,CHI,MH687957.1
26,0.76361763,0.8032101,CHI,KJ473816.1
27,0.7541875,0.7797543,CHI,KY417152.1
28,0.0,0.11187803,CHI,NC_028824.1
29,0.7231655,0.74911094,CHI,KY417150.1
30,0.9251385,0.31369317,CHI,KF514419.1
31,0.6155826,0.71394503,CHI,KP886809.1
32,0.20274694,0.21037024,CHI,MH687956.1
33,0.5044115,0.819245,CHI,AY508724.1
34,0.83858764,0.14988536,CHI,FJ882950.1
35,0.5468622,0.8280686,CHI,FJ882963.1
36,0.94445884,0.31722647,CHI,KF514421.1
37,0.6081046,0.5381123,CHI,DQ022305.2
38,0.9246883,0.3005237,CHI,KF514397.1
39,0.5867801,0.8367077,CHI,GU553365.1
40,0.0115376795,0.13929653,CHI,EF203065.1
41,0.07977637,0.31428307,CHI,KY073745.1
42,0.6266945,0.8695178,CHI,AP006557.1
43,0.22477174,0.34081337,CHI,KJ473807.1
44,0.6061903,0.55369186,CHI,GQ153541.1
45,0.6968532,0.5829091,CHI,KU182964.1
46,0.20011446,0.20066747,CHI,MH687961.1
47,0.6823242,0.3845119,CHI,EF065510.1
48,0.8209757,0.20169254,CHI,FJ882960.1
49,0.33890817,0.26760027,CHI,DQ648794.1
50,0.94569707,0.28931162,CHI,KF514413.1
51,0.6904297,0.48634222,CHI,NC_030886.1
52,0.57454664,0.9973702,CHI,EU371564.1
53,0.53051823,0.8465219,CHI,AY274119.3
54,0.8590038,0.16950054,CHI,FJ882929.1
55,0.079800844,0.31408584,CHI,KY073746.1
56,0.22652294,0.20685709,CHI,MH687954.1
57,0.60289997,0.817688,CHI,JN854286.1
58,0.5749795,1.0,CHI,EU371562.1
59,0.14617294,0.19025874,CHI,MH687949.1
60,0.14809749,0.18988514,CHI,MH687940.1
61,0.8565667,0.31628364,CHI,FJ882953.1
62,0.9339204,0.28604323,CHI,KF514422.1
63,0.22515528,0.19886084,CHI,MH687967.1
64,0.5567176,0.8490418,CHI,JX163923.1
65,0.9850561,0.34449646,CHI,FJ882939.1
66,0.91572785,0.19867057,CHI,JX162087.1
67,0.40408128,0.19614226,CHI,HM211098.1
68,0.16705117,0.027570209,CHI,JQ989268.1
69,0.9457196,0.29883617,CHI,KF514398.1
70,0.09245742,0.21960397,CHI,KF430219.1
71,0.84377974,0.15669294,CHI,FJ882940.1
72,0.80613786,0.20065808,CHI,FJ882941.1
73,0.8858331,0.38119027,CHI,FJ882958.1
74,0.21958782,0.18943353,CHI,MH687964.1
75,0.6258987,0.9122188,CHI,AY502923.1
76,0.6259017,0.9122295,CHI,AP006561.1
77,0.19886069,0.070226386,CHI,KT253269.1
78,0.9304674,0.29088986,CHI,KF514399.1
79,0.19856848,0.2504609,CHI,NC_009657.1
80,0.85510755,0.22268158,CHI,KF514395.1
81,0.84701073,0.22552396,CHI,KF514391.1
82,0.16696231,0.027280748,CHI,JQ989266.1
83,0.84494156,0.22489925,CHI,KF514389.1
84,0.38493884,0.19618034,CHI,EF065514.1
85,0.72433,0.80270463,CHI,FJ588686.1
86,0.7071065,0.583404,CHI,KJ473813.1
87,0.011444179,0.13851322,CHI,EF203067.1
88,0.5748955,0.99946284,CHI,EU371561.1
89,0.7073319,0.58445746,CHI,DQ648856.1
90,0.68299514,0.38420862,CHI,NC_009020.1
91,0.10318685,0.2855835,CHI,KY770850.1
92,0.38523003,0.19624828,CHI,HM211099.1
93,0.34211436,0.27175996,CHI,NC_009019.1
94,0.20011988,0.060749345,CHI,KY073747.1
95,0.78802675,0.6649879,CHI,KJ473814.1
96,0.21679898,0.24894482,CHI,MK211370.1
