,t_SNE1,t_SNE2,label,id
0,0.76484126,0.8806736,CHI,FJ882931.1
1,0.0016101237,0.6229693,CHI,MF094685.1
2,0.7614072,0.51386,CHI,KY417148.1
3,0.73855615,0.89524937,CHI,FJ882956.1
4,0.037317555,0.40665394,CHI,MH938448.1
5,0.73996884,0.15209989,CHI,NC_034440.1
6,0.97824305,0.64654046,CHI,KF514423.1
7,0.00062027643,0.6186771,CHI,EF203066.1
8,0.92141694,0.86452425,CHI,AY502932.1
9,0.10954803,0.68687165,CHI,MH687938.1
10,0.8867057,0.8479837,CHI,AY345988.1
11,0.7808852,0.49982688,CHI,MK211375.1
12,0.7728877,0.8793904,CHI,FJ882954.1
13,0.8365677,0.9671846,CHI,AY864805.1
14,0.9199815,0.91449934,CHI,AY348314.1
15,0.9465827,0.92929244,CHI,JX163924.1
16,0.96204656,0.626026,CHI,KF514394.1
17,0.71825737,0.744249,CHI,FJ882951.1
18,0.85075593,0.3921066,CHI,KJ473812.1
19,0.10478231,0.68981963,CHI,MH687944.1
20,0.87627566,0.9458865,CHI,AY502926.1
21,0.7464425,0.74346304,CHI,FJ882943.1
22,0.77043515,0.4532072,CHI,KJ473815.1
23,0.91595095,0.9044054,CHI,AY502925.1
24,0.14299683,0.48108461,CHI,JQ989270.1
25,0.10213182,0.66309327,CHI,MH687957.1
26,0.738589,0.50832754,CHI,KJ473816.1
27,0.7621483,0.5085654,CHI,KY417152.1
28,0.008700127,0.64625484,CHI,NC_028824.1
29,0.73870754,0.5399923,CHI,KY417150.1
30,0.96171767,0.6263811,CHI,KF514419.1
31,0.8493799,0.48488188,CHI,KP886809.1
32,0.101978466,0.6698174,CHI,MH687956.1
33,0.9617599,0.76618916,CHI,AY508724.1
34,0.76984745,0.88136417,CHI,FJ882950.1
35,0.9026915,0.93685365,CHI,FJ882963.1
36,0.9728517,0.62403136,CHI,KF514421.1
37,0.8218273,0.34377483,CHI,DQ022305.2
38,0.9827292,0.63070226,CHI,KF514397.1
39,0.8762707,0.9458609,CHI,GU553365.1
40,0.0,0.61815697,CHI,EF203065.1
41,0.041481044,0.43566316,CHI,KY073745.1
