Strain_name,Predict_0,Predict_1,Predict_2,Predict_3,Predict_4,Score_0,Score_1,Score_2,Score_3,Score_4
AB551247.1,0.029137974604964256,0.013136958703398705,0.9524321556091309,0.005286046303808689,6.961867711652303e-06,1.3108397722244263,0.5142269730567932,4.797816276550293,-0.3961319327354431,-7.028509616851807
AC_000192.1,0.009284904226660728,0.012525719590485096,0.9761052131652832,0.0020815981552004814,2.5936051315511577e-06,0.751005232334137,1.0503993034362793,5.406185626983643,-0.7442489862442017,-7.432091236114502
AF304460.1,0.7830641865730286,0.09574063867330551,0.0006071226671338081,0.029750902205705643,0.09083707630634308,2.8236169815063477,0.7220451235771179,-4.338622093200684,-0.44673824310302734,0.6694697737693787
AF353511.1,0.9691188931465149,0.002137528732419014,0.0016460303450003266,0.02704688347876072,5.0702485168585554e-05,5.098797798156738,-1.0179390907287598,-1.279222846031189,1.5199822187423706,-4.759369373321533
AF391541.1,0.050498977303504944,0.20171473920345306,0.16438472270965576,0.013764595612883568,0.5696369409561157,-1.0426748991012573,0.3422265350818634,0.13758163154125214,-2.3425281047821045,1.3803712129592896
AF391542.1,0.04784206673502922,0.18341520428657532,0.12492908537387848,0.01234619040042162,0.6314674615859985,-1.0129339694976807,0.33091315627098083,-0.05309310927987099,-2.3674917221069336,1.5672070980072021
AJ271965.2,0.0005373410531319678,0.00027413200587034225,0.013257562182843685,0.9859280586242676,2.905814653786365e-06,-1.2619011402130127,-1.9349236488342285,1.9437893629074097,6.252804756164551,-6.481820583343506
AJ311317.1,0.11793573200702667,0.4190257787704468,0.3049986660480499,0.06678659468889236,0.0912531316280365,-0.3887171149253845,0.8790754675865173,0.5614504218101501,-0.9573546051979065,-0.6452195644378662
AP006557.1,0.9913008809089661,0.008139362558722496,5.664798209181754e-06,0.00040887281647883356,0.00014521472621709108,6.503280162811279,1.7009742259979248,-5.569222450256348,-1.2900892496109009,-2.325279712677002
AP006558.1,0.9910133481025696,0.008432377129793167,5.808321930089733e-06,0.0004048351547680795,0.00014368149277288467,6.4945831298828125,1.7279341220855713,-5.552608013153076,-1.308420181274414,-2.3443007469177246
AP006559.1,0.9910562038421631,0.008389430120587349,5.803855401609326e-06,0.0004044187371619046,0.00014409910363610834,6.495555877685547,1.723757266998291,-5.55244779586792,-1.308519959449768,-2.3404698371887207
AP006560.1,0.9910562038421631,0.008389430120587349,5.803855401609326e-06,0.0004044187371619046,0.00014409910363610834,6.495555877685547,1.723757266998291,-5.55244779586792,-1.308519959449768,-2.3404698371887207
AP006561.1,0.9910481572151184,0.008393107913434505,5.866858828085242e-06,0.00040598222403787076,0.00014696468133479357,6.489020347595215,1.717668056488037,-5.548178672790527,-1.3111885786056519,-2.327305316925049
AY274119.3,0.9911406636238098,0.008290981873869896,5.617747774522286e-06,0.00040995588642545044,0.00015272435848601162,6.49004602432251,1.7063579559326172,-5.590634822845459,-1.3005160093307495,-2.287930965423584
AY278488.2,0.9911633729934692,0.008276359178125858,5.806497938465327e-06,0.00040579985943622887,0.0001487014233134687,6.491898536682129,1.7064223289489746,-5.555758953094482,-1.3088761568069458,-2.312795639038086
AY278489.2,0.9897799491882324,0.009680363349616528,6.6613069975574035e-06,0.0003788161266129464,0.0001542693644296378,6.437189102172852,1.8098056316375732,-5.4717326164245605,-1.4309979677200317,-2.329348564147949
AY278554.2,0.9906864762306213,0.008737909607589245,5.943851647316478e-06,0.0004076097684446722,0.0001620914408704266,6.457454681396484,1.7267274856567383,-5.566341876983643,-1.3383886814117432,-2.260538101196289
AY278741.1,0.9909117221832275,0.00852691475301981,5.946269084233791e-06,0.00041008504922501743,0.00014523885329253972,6.4832763671875,1.7278783321380615,-5.540340900421143,-1.3067396879196167,-2.344724655151367
AY282752.2,0.9910842180252075,0.008354254066944122,5.688807050319156e-06,0.00040709052700549364,0.00014872089377604425,6.492534637451172,1.716505765914917,-5.575520038604736,-1.3049845695495605,-2.3119490146636963
AY291315.1,0.9908921122550964,0.008550809696316719,5.911931111768354e-06,0.00040857167914509773,0.0001425331283826381,6.487942218780518,1.7353622913360596,-5.541445732116699,-1.3057513236999512,-2.358844757080078
AY291451.1,0.9914685487747192,0.007976111955940723,5.520413196791196e-06,0.00040830051875673234,0.00014148082118481398,6.517797470092773,1.695061206817627,-5.580691814422607,-1.2771415710449219,-2.3369812965393066
AY310120.1,0.9908921122550964,0.008550809696316719,5.911931111768354e-06,0.00040857167914509773,0.0001425331283826381,6.487942218780518,1.7353622913360596,-5.541445732116699,-1.3057513236999512,-2.358844757080078
AY319651.1,0.2707540988922119,0.3823094964027405,0.16772685945034027,0.0986064150929451,0.08060304820537567,0.4042840003967285,0.7493034601211548,-0.07459020614624023,-0.6057907938957214,-0.8073905110359192
AY323977.2,0.9910842180252075,0.008354254066944122,5.688807050319156e-06,0.00040709052700549364,0.00014872089377604425,6.492534637451172,1.716505765914917,-5.575520038604736,-1.3049845695495605,-2.3119490146636963
AY338174.1,0.9912415742874146,0.008208696730434895,5.719016371585894e-06,0.0004037880862597376,0.00014028424629941583,6.508758544921875,1.714994192123413,-5.5541582107543945,-1.297065019607544,-2.3542838096618652
AY338175.1,0.9907446503639221,0.008700249716639519,6.347319867927581e-06,0.0004066544643137604,0.00014206628839019686,6.473180770874023,1.7380757331848145,-5.4849982261657715,-1.3250677585601807,-2.376737117767334
AY338732.1,0.17270268499851227,0.297335147857666,0.06277725100517273,0.028782961890101433,0.43840187788009644,0.11795371025800705,0.6612421870231628,-0.8940250277519226,-1.673834204673767,1.0495182275772095
AY345986.1,0.9910562038421631,0.008389430120587349,5.803855401609326e-06,0.0004044187371619046,0.00014409910363610834,6.495555877685547,1.723757266998291,-5.55244779586792,-1.308519959449768,-2.3404698371887207
AY345987.1,0.9910562038421631,0.008389430120587349,5.803855401609326e-06,0.0004044187371619046,0.00014409910363610834,6.495555877685547,1.723757266998291,-5.55244779586792,-1.308519959449768,-2.3404698371887207
AY345988.1,0.9905470013618469,0.00890764407813549,6.215136636456009e-06,0.00039671556442044675,0.00014233410183805972,6.475606918334961,1.7642595767974854,-5.503418445587158,-1.3471863269805908,-2.3722286224365234
