,t_SNE1,t_SNE2,label,id
0,0.87150794,0.15676007,CHI,FJ882931.1
1,0.14178059,0.9976211,CHI,MF094685.1
2,0.97942066,0.20718643,CHI,KY417148.1
3,0.8636191,0.15363084,CHI,FJ882956.1
4,0.28648272,0.96949255,CHI,MH938448.1
5,0.24217942,0.7656672,CHI,NC_034440.1
6,0.6520122,0.24591076,CHI,KF514423.1
7,0.14048035,0.9922186,CHI,EF203066.1
8,0.35863304,0.05506497,CHI,AY502932.1
9,0.23210484,0.82452893,CHI,MH687938.1
10,0.3567444,0.09854619,CHI,AY345988.1
11,0.9881566,0.25163496,CHI,MK211375.1
12,0.86502725,0.15449838,CHI,FJ882954.1
13,0.46863434,0.085001536,CHI,AY864805.1
14,0.4287265,0.078456104,CHI,AY348314.1
15,0.40251565,0.11380551,CHI,JX163924.1
16,0.64271444,0.26331908,CHI,KF514394.1
17,0.82783806,0.21269618,CHI,FJ882951.1
18,0.9594509,0.2999251,CHI,KJ473812.1
19,0.22793967,0.81266797,CHI,MH687944.1
20,0.42624995,0.09251044,CHI,AY502926.1
21,0.81880325,0.21636806,CHI,FJ882943.1
22,0.9423773,0.21184115,CHI,KJ473815.1
23,0.42940086,0.07311089,CHI,AY502925.1
24,0.052187406,0.82621795,CHI,JQ989270.1
25,0.22490194,0.8499188,CHI,MH687957.1
26,0.9616461,0.18321829,CHI,KJ473816.1
27,0.967585,0.19128162,CHI,KY417152.1
28,0.11208968,0.99022216,CHI,NC_028824.1
29,1.0,0.22564037,CHI,KY417150.1
30,0.6625048,0.25681183,CHI,KF514419.1
31,0.49383506,0.20299853,CHI,KP886809.1
32,0.2172947,0.8201602,CHI,MH687956.1
33,0.4771756,0.10216398,CHI,AY508724.1
34,0.8669641,0.15293033,CHI,FJ882950.1
35,0.42872512,0.07845588,CHI,FJ882963.1
36,0.6377682,0.24798366,CHI,KF514421.1
37,0.8263439,0.35985103,CHI,DQ022305.2
38,0.65932447,0.25042915,CHI,KF514397.1
39,0.43391925,0.059508245,CHI,GU553365.1
40,0.14337394,0.99186766,CHI,EF203065.1
41,0.3098154,0.9521867,CHI,KY073745.1
42,0.38134342,0.026644608,CHI,AP006557.1
43,0.03483515,0.8528406,CHI,KJ473807.1
44,0.8246208,0.359764,CHI,GQ153541.1
45,0.98206836,0.30175602,CHI,KU182964.1
46,0.20205425,0.8302732,CHI,MH687961.1
